사업장명,지번주소,도로명주소,도로명우편번호,소재지우편번호,좌표정보(X),좌표정보(Y),위도,경도
맘스터치LAB 명동점,서울특별시 중구 을지로2가 199-8,"서울특별시 중구 명동9길 37, 1-3층 (을지로2가)",04534,100-845,198526.594705928,451456.089693082,37.56558948332318,126.9841207200625
시골전집,서울특별시 종로구 종로3가 16 (지상1층),"서울특별시 종로구 종로 123 (종로3가,(지상1층))",03139,110-123,199159.679411,452041.504146287,37.57086540184146,126.99128671057186
죠스 떡볶이 경복궁점,서울특별시 종로구 체부동 43,서울특별시 종로구 자하문로 15 (체부동),03041,110-045,197451.606521987,452797.930744999,37.57767835276901,126.97194694848362
조선정육식당,서울특별시 중구 소공동 81 (지상1층 104호),"서울특별시 중구 남대문로7길 33 (소공동,(지상1층 104호))",04532,100-070,198164.81474774,451278.901392417,37.56399220303247,126.98002573302034
비비큐,서울특별시 강남구 대치동 922,"서울특별시 강남구 선릉로 326, 지상1층 101호 (대치동)",06205,135-843,204537.268564459,444062.784305557,37.49895861624584,127.05211722737204
미아사거리점 마요네즈,서울특별시 강북구 미아동 54-256,서울특별시 강북구 월계로7나길 42 (미아동),01219,142-804,202733.156893483,456730.37627055,37.61311261240232,127.03175963022032
화설 사당이수역점,서울특별시 동작구 사당동 145-27,서울특별시 동작구 동작대로25길 13 (사당동),07008,156-816,198268.118941826,442673.699368324,37.48645104378061,126.9812154159895
마요네즈 양재점,서울특별시 서초구 양재동 337,서울특별시 서초구 강남대로10길 68-2 (양재동),06785,137-897,203701.463120441,440846.473531917,37.46998001765001,127.042647969168
미태리 다이닝,서울특별시 송파구 잠실동 194 잠실아이파크,"서울특별시 송파구 올림픽로8길 20, 잠실아이파크 1층 A114호 (잠실동)",05561,138-862,207006.591695429,445317.839419365,37.5102524970174,127.08005759842779
비에이치씨(BHC) 상봉점,서울특별시 중랑구 망우동 479,"서울특별시 중랑구 용마산로115길 127, S동 1007호 (망우동, 한일써너스빌리젠시상가)",02163,131-807,208185.587866215,455005.951408018,37.59754170890677,127.09350229928252
다원황태수제비,"서울특별시 구로구 구로동 642-108 해원리버파크 106,107,108호","서울특별시 구로구 구일로 110, 해원리버파크 106~108호 (구로동)",08324,152-868,188611.564007526,443658.176253167,37.49525361711209,126.87200136925772
닥엔돈스 가양역점,서울특별시 강서구 등촌동 707-1 등촌8단지주공아파트 (지상 1층) 종합상가동 106호,"서울특별시 강서구 화곡로69길 71, 종합상가동 106호 (등촌동,등촌8단지주공아파트 (지상 1층))",07576,157-930,186775.49349071,451077.668818105,37.56208583720167,126.85110266091792
케이컴퍼니,서울특별시 강동구 천호동 110-27,서울특별시 강동구 천중로35길 27 (천호동),05317,134-864,212084.481429973,448919.185990394,37.54265157810739,127.13755709707021
제리스 키친(Jerry's kitchen),서울특별시 중구 신당동 141-2,"서울특별시 중구 다산로44길 56, 2층 (신당동)",04578,100-819,201706.189222542,451418.136329645,37.565247086714265,127.02011435803514
꾸아 이대점,서울특별시 서대문구 대현동 60-9 2층,"서울특별시 서대문구 이화여대길 42, 2층 (대현동)",03764,120-808,195147.40273674,450735.341626576,37.5590832742928,126.94587228438859
프린스옻닭,서울특별시 서대문구 홍제동 116 1층 102호,"서울특별시 서대문구 통일로 396-3, 1층 102호 (홍제동)",03632,120-854,195365.615661404,453673.534630934,37.585560194354024,126.94832371428946
하늘초밥 본점,서울특별시 서대문구 대현동 53-35 1층,"서울특별시 서대문구 이화여대2나길 5, 1층 (대현동)",03767,120-808,195204.389161142,450597.400520284,37.55784059464666,126.94651822887535
정식당,서울특별시 강남구 논현동 198-9,"서울특별시 강남구 강남대로114길 18, 지상1층 102호 (논현동)",06120,135-827,202203.971844754,444853.761457955,37.506094643823154,127.025729644482
먼투썬피자&떡볶이 중화역점,서울특별시 중랑구 중화동 305-72,"서울특별시 중랑구 동일로 815, 1층 (중화동)",02017,131-881,206896.700735158,455647.890887537,37.603336700171425,127.0789116321111
서대문 행복스토어,서울특별시 서대문구 대현동 90-22 한빛슈테리움1차,"서울특별시 서대문구 이화여대3길 35, 한빛슈테리움1차 1층 102호 (대현동)",03766,120-809,194960.695804148,450603.183641598,37.55789140561614,126.94375981245828
추산댁 곱창&닭발,서울특별시 관악구 봉천동 930-35,"서울특별시 관악구 장군봉1길 3, 1층 (봉천동)",08784,151-844,194655.903441096,442235.571566137,37.48248922258726,126.94037069023729
추산댁 건강죽,서울특별시 관악구 봉천동 930-35,"서울특별시 관악구 장군봉1길 3, 1층 (봉천동)",08784,151-844,194655.903441096,442235.571566137,37.48248922258726,126.94037069023729
카페이응,서울특별시 강동구 명일동 344-15 에이플러스,"서울특별시 강동구 상암로 195, 에이플러스 1층 106호 (명일동)",05295,134-830,212672.159203487,449388.425456064,37.546871972275234,127.14421578280128
LK치킨(엘케이치킨),서울특별시 관악구 봉천동 1539-19,"서울특별시 관악구 쑥고개로 50, 1층 101호 (봉천동)",08830,151-844,194812.100186938,441919.596437078,37.47964284515116,126.94213913742703
백과람,서울특별시 강서구 마곡동 776 마곡파크뷰대방디엠시티오피스텔 129호,"서울특별시 강서구 마곡동로10길 23, 마곡파크뷰대방디엠시티오피스텔 1층 129호 (마곡동)",07791,157-210,185740.216641551,451837.646781936,37.56891847468185,126.83936890979919
포마스터,서울특별시 강서구 마곡동 757-2 마곡나루역프라이빗타워Ⅱ,"서울특별시 강서구 마곡중앙로 171, 마곡나루역프라이빗타워Ⅱ 1층 105호 (마곡동)",07788,157-210,184715.45178233,451876.480698088,37.56925196945028,126.82776706567647
샌드리아 여의도점,서울특별시 영등포구 여의도동 10-3,"서울특별시 영등포구 은행로 60-1, 1층 102호 (여의도동)",07241,150-868,193321.88651945,447552.076521358,37.5303876124034,126.92523779892291
투흐티(tuhti),서울특별시 영등포구 여의도동 15-24 익스콘벤처타워,"서울특별시 영등포구 은행로 3, 익스콘벤처타워 지하1층 비106호 (여의도동)",07237,150-872,192823.437608603,447256.794774319,37.527723093692764,126.91960078760641
본도시락 신이문점,서울특별시 동대문구 이문동 250-1,"서울특별시 동대문구 이문로 200, 1층 (이문동)",02406,130-827,205443.275160667,455790.631069022,37.60463265898172,127.06245128982187
라홍방마라탕 신정이펜하우스점,"서울특별시 양천구 신정동 1320-3 102,3호","서울특별시 양천구 신정이펜2로 24, 102,103호 (신정동)",08049,158-070,185157.192272811,445654.840689131,37.513196469037055,126.83289366107579
남도나주곰탕,서울특별시 금천구 가산동 142-3,"서울특별시 금천구 남부순환로108길 6, 지상1층 일부호 (가산동)",08527,153-801,190436.844098319,441825.428720298,37.47875937776754,126.89266832277455
동네맛집뼈구이집 길동역점,서울특별시 강동구 길동 404-14 재성빌딩,"서울특별시 강동구 천호대로187길 38, 재성빌딩 1층 101호 (길동)",05350,134-880,212557.77171457,448197.91256132,37.5361459038796,127.14290085694805
족팡매야,서울특별시 영등포구 당산동4가 32-144,"서울특별시 영등포구 당산로36길 7-2, 1층 101호 (당산동4가)",07220,150-805,190976.227239131,447335.364551688,37.528414864779606,126.89869958889405
스페이스(SPACE),서울특별시 영등포구 대림동 700-5 개풍빌딩,"서울특별시 영등포구 대림로 142, 지엔아이 빌딩 2층 206호 (대림동)",07422,150-814,191172.482456967,443535.679480495,37.49417782214783,126.90096575019714
요요닭강정,서울특별시 영등포구 도림동 136-6,"서울특별시 영등포구 도신로29마길 1, 1층 (도림동)",07369,150-830,191508.267975598,445243.907407169,37.50957382901894,126.90474357254986
창들,서울특별시 성북구 안암동5가 134-17,"서울특별시 성북구 안암로9가길 72, 지하1층 (안암동5가)",02857,136-075,202406.566127383,453315.946820888,37.582346526637245,127.02804897571133
천우목장 신사점,서울특별시 강남구 신사동 511-8 지상1층,"서울특별시 강남구 강남대로156길 22 (신사동,지상1층)",06035,135-887,201780.928152689,446229.467524944,37.51849205263561,127.02094783001186
치킨 히어로,서울특별시 마포구 대흥동 778-1 1층,"서울특별시 마포구 큰우물로 18 (대흥동,1층)",04159,121-811,194727.183785394,449122.284224263,37.544545799671745,126.94112731714051
Bunny Butt(버니버트),서울특별시 송파구 방이동 68-9,"서울특별시 송파구 오금로15길 7-20, 1층 (방이동)",05548,138-829,209556.319500504,445658.61525972,37.51330035166452,127.10890415558886
광명탕후루,서울특별시 송파구 장지동 883 힐스테이트송파위례,"서울특별시 송파구 위례광장로 170, 상가A동 1층 A104호 (장지동, 힐스테이트송파위례)",05849,138-926,212529.597827948,441939.837915418,37.4797548657977,127.1424754326947
추산댁 김치찜,서울특별시 관악구 봉천동 930-35,"서울특별시 관악구 장군봉1길 3, 1층 (봉천동)",08784,151-844,194655.903441096,442235.571566137,37.48248922258726,126.94037069023729
새우공장,서울특별시 강남구 신사동 664-16,"서울특별시 강남구 압구정로54길 25, 지상1층 (신사동)",06018,135-897,203407.754890248,447112.356954432,37.52644318643043,127.03935638522417
CONCRETUS 콘크리투스,서울특별시 관악구 신림동 1637-10,"서울특별시 관악구 신림로 301, 지하1층 (신림동)",08776,151-930,193719.863572561,442131.128424125,37.48154219316201,126.92978715274059
이쿠,서울특별시 관악구 봉천동 196-32 E.H.Vill,"서울특별시 관악구 남부순환로246길 43, 1층 101호 (봉천동, E.H.Vill)",08793,151-817,196739.163612974,441381.064323298,37.474798909596494,126.96393129757539
