name,category,city,district,parcelAddress,roadAddress,roadPostal,districtPostal,latitude,longitude,xCoordinate,yCoordinate
굽네치킨 은천점,호프/통닭,서울특별시,관악구,서울특별시 관악구 봉천동 622-3 은천누리에뜰,"서울특별시 관악구 은천로 61, 1층 (봉천동, 은천누리에뜰)",8716,151-826,37.486610296663400,126.94223722322900,194821.255710145,442692.802986229
더리얼치킨(THE REAL CHICKEN) 문래본점,호프/통닭,서울특별시,영등포구,서울특별시 영등포구 문래동6가 43 한신아파트,"서울특별시 영등포구 선유서로 35, 한신아파트 상가동 1층 103-1호 (문래동6가)",7283,150-096,37.51950844167110,126.88403910069200,189679.286130733,446348.475762466
고니(GONI),기타,서울특별시,성북구,서울특별시 성북구 동선동2가 135-15,서울특별시 성북구 보문로34길 72-4 (동선동2가),2849,136-052,37.59117965369330,127.01940565022900,201643.013559614,454296.032621487
프로스퍼(prosper),기타,서울특별시,동작구,서울특별시 동작구 대방동 404-4,"서울특별시 동작구 여의대방로24길 101, 1층 (대방동)",7055,156-811,37.4993342114823,126.9256033502130,193351.43932243,444105.885035378
피자알볼로신길점,한식,서울특별시,영등포구,서울특별시 영등포구 신길동 302-6,"서울특별시 영등포구 가마산로65길 16-1, 1층 (신길동)",7384,150-841,37.50749490234690,126.9065397042580,191666.82138371,445013.037197519
에이치에이푸드,한식,서울특별시,송파구,서울특별시 송파구 문정동 20-10,"서울특별시 송파구 동남로8길 30-39, 1층 (문정동)",5803,138-824,37.48731624268630,127.12665923481800,211129.710778432,442776.974020614
문벅(Moon buck),경양식,서울특별시,종로구,서울특별시 종로구 동숭동 25-5번지 101호,"서울특별시 종로구 동숭길 100, 1층 101호 (동숭동)",3085,110809,37.5830805087524,127.00442304737000,200319.975968474,453397.058891096
생활맥주 삼성코엑스2호점,"외국음식전문점(인도,태국등)",서울특별시,강남구,서울특별시 강남구 삼성동 157-8 LG트윈텔1,"서울특별시 강남구 삼성로96길 6, LG트윈텔1 지상1층 101호 (삼성동)",6168,135-880,37.50867934479260,127.056605039157,204933.423687109,445141.77035067
참새방앗간,한식,서울특별시,중랑구,서울특별시 중랑구 면목동 104-17,"서울특별시 중랑구 겸재로50길 25, 1층 (면목동)",2199,131-815,37.588970195404400,127.09174747968000,208031.558877294,454054.559486213
채선당 샤브보트 롯데마트 서초점,한식,서울특별시,서초구,"서울특별시 서초구 서초동 1498-5 마제스타시티, 힐스테이트 서리풀","서울특별시 서초구 서초대로38길 12, 지하1층 (서초동, 마제스타시티, 힐스테이트 서리풀)",6655,137-870,37.49051629073000,127.0057760321110,200440.010811975,443124.671418408
망상,기타,서울특별시,도봉구,서울특별시 도봉구 도봉동 281-15,"서울특별시 도봉구 도봉산4길 6, 1층 (도봉동)",1301,132-806,37.68788493089770,127.0424576960750,203673.910899344,465028.823615419
용문집,한식,서울특별시,광진구,서울특별시 광진구 자양동 48-38 지상1층,"서울특별시 광진구 뚝섬로30길 44 (자양동,지상1층)",5085,143-843,37.5345620389609,127.06729927016500,205876.812846863,448014.731898392
